OBJECTID,FID_LandCover_Elicott,Id,gridcode,FID_soils,AREASYMBOL,SPATIALVER,MUSYM,MUKEY,HydroSG,Shape_Length,Shape_Area,CN,Land_Cover,Acres,Percent_Area,compositeCN
1457,603,527790,21,46,MD027,6,LoC,793429,C,39.970167458250792,52.165006565089982,79,"Developed, Open Space",0.0128903,0.0000054,0.0004293
1458,604,527791,22,30,MD027,6,LrF,793431,C,308.739202872123997,3088.698713222537663,79,"Developed, Low Intensity",0.7632341,0.0003218,0.0254214
1459,604,527791,22,34,MD027,6,LrD,793430,C,498.708323719475118,3854.661112140622208,79,"Developed, Low Intensity",0.9525075,0.0004016,0.0317256
1460,604,527791,22,39,MD027,6,LoB,793428,C,1931.169881833004183,69879.809479219824425,79,"Developed, Low Intensity",17.2676773,0.0072803,0.5751425
1461,604,527791,22,77,MD027,6,McD,793437,B,650.171120844237407,9941.823124580236254,69,"Developed, Low Intensity",2.4566779,0.0010358,0.0714680
1462,604,527791,22,152,MD027,6,MgF,793439,B,121.976732394737709,312.002706176324125,69,"Developed, Low Intensity",0.0770976,0.0000325,0.0022429
1463,605,527792,21,34,MD027,6,LrD,793430,C,110.903206443212937,738.009649849550101,79,"Developed, Open Space",0.1823662,0.0000769,0.0060742
1464,605,527792,21,39,MD027,6,LoB,793428,C,61.215561158753950,161.990349982811864,79,"Developed, Open Space",0.0400287,0.0000169,0.0013333
1465,606,527793,43,34,MD027,6,LrD,793430,C,239.999999986961484,2699.999999580904841,73,Mixed Forest,0.6671845,0.0002813,0.0205345
1466,607,527794,21,33,MD027,6,LrD,793430,C,88.615274183406655,346.160908922514864,79,"Developed, Open Space",0.0855382,0.0000361,0.0028491
1467,607,527794,21,163,MD027,6,GoB,793004,C,76.224742464250369,269.718269073485430,79,"Developed, Open Space",0.0666488,0.0000281,0.0022199
1468,608,527795,43,32,MD027,6,LrF,793431,C,252.207825152654152,2815.643074437982250,73,Mixed Forest,0.6957605,0.0002933,0.0214140
1469,608,527795,43,63,MD027,6,LmB,793427,C,341.091378233421324,4368.956900343815505,73,Mixed Forest,1.0795927,0.0004552,0.0332275
1470,608,527795,43,107,MD027,6,LaC,813450,C,247.378913400324336,2231.228134151740960,73,Mixed Forest,0.5513485,0.0002325,0.0169693
1471,609,527796,43,63,MD027,6,LmB,793427,C,11.239211465260770,7.616787991513657,73,Mixed Forest,0.0018821,0.0000008,0.0000579
1472,610,527962,41,100,MD027,6,LoC,793429,C,217.748300070727709,1116.196671671627428,73,Deciduous Forest,0.2758182,0.0001163,0.0084891
1473,610,527962,41,205,MD027,6,MoB,793442,D,208.713846065505948,1999.745710902546534,79,Deciduous Forest,0.4941479,0.0002083,0.0164588
1474,611,527963,52,100,MD027,6,LoC,793429,C,70.561453352953535,180.480691004698230,73,Shrub/Scrub,0.0445977,0.0000188,0.0013726
1475,611,527963,52,205,MD027,6,MoB,793442,D,112.371990083988052,719.519309079120831,79,Shrub/Scrub,0.1777971,0.0000750,0.0059220
1476,612,527964,21,80,MD027,6,LoB,793428,C,250.505418026037205,3706.567382522687240,79,"Developed, Open Space",0.9159127,0.0003862,0.0305067
1477,613,527965,21,80,MD027,6,LoB,793428,C,109.308368704549153,608.004797771944141,79,"Developed, Open Space",0.1502413,0.0000633,0.0050042
1478,613,527965,21,200,MD027,6,WcB,793659,D,79.003633340156753,291.995202311874891,84,"Developed, Open Space",0.0721536,0.0000304,0.0025554
1479,614,527966,41,25,MD027,6,LrD,793430,C,240.577695714797215,1095.210282780612488,73,Deciduous Forest,0.2706324,0.0001141,0.0083295
1480,614,527966,41,155,MD027,6,JaB,793008,,279.111560753823937,1771.432771914124487,,Deciduous Forest,0.4377306,0.0001846,
1481,614,527966,41,163,MD027,6,GoB,793004,C,275.920701214561348,3366.156598883111656,73,Deciduous Forest,0.8317954,0.0003507,0.0256008
1482,614,527966,41,200,MD027,6,WcB,793659,D,129.549128041802049,794.118471552581127,79,Deciduous Forest,0.1962309,0.0000827,0.0065360
1483,615,527967,21,155,MD027,6,JaB,793008,,179.497409476283053,1768.814226883059746,,"Developed, Open Space",0.4370835,0.0001843,
1484,615,527967,21,163,MD027,6,GoB,793004,C,277.859887655340515,3581.527569864022098,79,"Developed, Open Space",0.8850147,0.0003731,0.0294776
1485,616,527968,21,46,MD027,6,LoC,793429,C,112.521304066564596,576.562500007858034,79,"Developed, Open Space",0.1424717,0.0000601,0.0047454
1486,617,527969,21,34,MD027,6,LrD,793430,C,268.528671966093214,3680.149092297294828,79,"Developed, Open Space",0.9093847,0.0003834,0.0302893
1487,617,527969,21,80,MD027,6,LoB,793428,C,41.690721452315202,74.538328044986045,79,"Developed, Open Space",0.0184188,0.0000078,0.0006135
1488,617,527969,21,201,MD027,6,WcB,793659,D,0.061451782756744,0.000079732151866,84,"Developed, Open Space",0.0000000,0.0000000,0.0000000
1489,618,527970,21,32,MD027,6,LrF,793431,C,37.121081371036958,58.768025417553574,79,"Developed, Open Space",0.0145219,0.0000061,0.0004837
1490,618,527970,21,63,MD027,6,LmB,793427,C,144.276977478729918,359.509589957333048,79,"Developed, Open Space",0.0888368,0.0000375,0.0029589
1491,618,527970,21,107,MD027,6,LaC,813450,C,69.384813557961280,110.866851240555818,79,"Developed, Open Space",0.0273958,0.0000116,0.0009125
1492,619,528168,43,41,MD027,6,LoB,793428,C,153.984101917474106,1335.808242601827260,73,Mixed Forest,0.3300854,0.0001392,0.0101593
1493,619,528168,43,100,MD027,6,LoC,793429,C,148.842856872706250,1364.191757174655322,73,Mixed Forest,0.3370991,0.0001421,0.0103752
1494,620,528169,41,100,MD027,6,LoC,793429,C,120.000000001862645,900.000000027939677,73,Deciduous Forest,0.2223948,0.0000938,0.0068448
1495,621,528170,41,101,MD027,6,LoC,793429,C,151.081200751370091,854.002337204101650,73,Deciduous Forest,0.2110286,0.0000890,0.0064950
1496,621,528170,41,177,MD027,6,UaF,628165,,152.643832077166337,945.997662907657059,,Deciduous Forest,0.2337611,0.0000986,
1497,622,528171,22,101,MD027,6,LoC,793429,C,119.999999996274710,899.999999944120646,79,"Developed, Low Intensity",0.2223948,0.0000938,0.0074074
1498,623,528172,22,80,MD027,6,LoB,793428,C,330.724423210103964,4959.997558692971324,79,"Developed, Low Intensity",1.2256421,0.0005167,0.0408230
1499,624,528173,41,80,MD027,6,LoB,793428,C,110.579165013765007,614.801875882478157,73,Deciduous Forest,0.1519209,0.0000641,0.0046758
1500,624,528173,41,200,MD027,6,WcB,793659,D,72.883942161013408,285.198124145461463,79,Deciduous Forest,0.0704740,0.0000297,0.0023473
1501,625,528174,41,50,MD027,6,LeC,793014,C,198.285870561018498,804.385901557032412,73,Deciduous Forest,0.1987681,0.0000838,0.0061176
1502,625,528174,41,80,MD027,6,LoB,793428,C,39.687820541931956,50.852005364107661,73,Deciduous Forest,0.0125658,0.0000053,0.0003867
1503,625,528174,41,200,MD027,6,WcB,793659,D,263.844088716118051,3054.045790667028996,79,Deciduous Forest,0.7546712,0.0003182,0.0251362
1504,626,528175,41,50,MD027,6,LeC,793014,C,169.066229982863916,1489.185938881857055,73,Deciduous Forest,0.3679858,0.0001551,0.0113258
1505,626,528175,41,200,MD027,6,WcB,793659,D,159.840749719771509,1236.184110833681871,79,Deciduous Forest,0.3054678,0.0001288,0.0101744
1506,627,528176,21,155,MD027,6,JaB,793008,,105.995241159146730,540.733781399886084,,"Developed, Open Space",0.1336182,0.0000563,
