PolygonID,LCID,HydroSG,CN,Acres,PCT_Area,CCN,CatchmentID
364,41,A,36,0.2380886,0.0001004,0.0036137,17
365,21,B,69,0.0864779,0.0000365,0.0025158,20
366,21,B,69,0.0211252,0.0000089,0.0006146,20
367,21,D,84,0.7259852,0.0003061,0.0257112,20
368,52,C,73,0.2394908,0.000101,0.007371,10
369,52,C,73,0.797901,0.0003364,0.0245576,10
370,52,D,79,0.1458182,0.0000615,0.0048568,10
371,24,D,,0.780228,0.000329,,10
372,22,,,0.1134721,0.0000478,,12
373,22,D,84,0.0289995,0.0000122,0.001027,9
374,22,B,69,0.3549034,0.0001496,0.0103246,13
375,22,D,84,0.8189407,0.0003453,0.0290032,13
376,21,C,79,0.1449633,0.0000611,0.0048284,13
377,21,A,49,1.2232214,0.0005157,0.0252706,17
378,21,B,69,0.4782665,0.0002016,0.0139134,13
379,21,D,84,0.0447306,0.0000189,0.0015842,13
380,41,A,36,0.495706,0.000209,0.0075239,17
381,41,C,73,0.0261083,0.000011,0.0008036,17
382,22,B,69,0.1395149,0.0000588,0.0040587,17
383,22,D,84,0.0029025,0.0000012,0.0001028,17
384,41,D,79,0.2223948,0.0000938,0.0074074,20
385,22,D,84,0.4649334,0.000196,0.0164659,20
386,41,C,73,0.5684736,0.0002397,0.0174964,10
387,41,C,73,2.3987663,0.0010114,0.0738287,10
388,22,C,79,0.5377978,0.0002267,0.0179127,10
389,23,A,49,0.0365711,0.0000154,0.0007555,20
390,23,D,84,0.2737827,0.0001154,0.0096962,20
391,22,D,84,0.4447897,0.0001875,0.0157525,20
392,21,B,69,0.3312904,0.0001397,0.0096377,20
393,21,B,69,0.0947711,0.00004,0.002757,20
394,21,D,84,0.4635178,0.0001954,0.0164157,20
395,21,A,49,1.4733384,0.0006212,0.0304378,20
396,24,B,,0.0071923,0.000003,,13
397,24,D,,1.8734993,0.0007899,,9
398,23,B,69,0.3386537,0.0001428,0.0098519,13
399,23,D,84,0.4493929,0.0001895,0.0159155,13
400,22,B,69,0.1569698,0.0000662,0.0045665,20
401,22,D,84,0.4337665,0.0001829,0.0153621,20
402,23,B,69,0.0368272,0.0000155,0.0010714,17
403,23,B,69,0.0652934,0.0000275,0.0018995,20
404,23,D,84,8.7434149,0.0036863,0.3096527,20
405,21,B,69,0.4377948,0.0001846,0.012736,20
406,21,A,49,0.0069948,0.0000029,0.0001445,20
407,22,D,84,0.2223948,0.0000938,0.0078762,20
408,43,C,73,0.7329988,0.000309,0.0225601,10
409,21,C,79,0.0198166,0.0000084,0.00066,10
410,21,C,79,1.913385,0.0008067,0.06373,10
411,21,C,79,2.3198605,0.0009781,0.0772687,10
412,21,D,84,0.0179599,0.0000076,0.0006361,10
413,21,C,79,0.1521871,0.0000642,0.005069,10
414,21,,,3.2812774,0.0013834,,12
415,21,D,84,1.6514823,0.0006963,0.0584881,9
416,23,A,49,0.0479845,0.0000202,0.0009913,13
417,23,B,69,0.046803,0.0000197,0.0013616,13
418,23,D,84,0.0476299,0.0000201,0.0016868,13
419,52,B,60,0.2154292,0.0000908,0.0054497,20
420,52,B,60,0.3403613,0.0001435,0.0086101,20
421,52,A,36,0.3337888,0.0001407,0.0050663,20
422,22,B,69,0.1415955,0.0000597,0.0041192,20
423,22,D,84,0.0008219,0.0000003,0.0000291,20
424,23,B,69,0.0150063,0.0000063,0.0004366,20
425,23,D,84,0.7732303,0.000326,0.0273844,20
426,21,B,69,0.051207,0.0000216,0.0014897,20
427,21,B,69,0.2401579,0.0001013,0.0069865,20
428,21,D,84,0.1534248,0.0000647,0.0054336,20
429,23,C,79,0.2035639,0.0000858,0.0067802,10
430,23,C,79,1.1861418,0.0005001,0.0395074,10
431,21,C,79,0.1210442,0.000051,0.0040317,18
432,21,D,84,0.0213731,0.000009,0.0007569,18
433,21,A,49,1.5543725,0.0006553,0.0321119,17
434,22,A,49,0.8615714,0.0003633,0.0177993,17
435,52,A,36,0.2223948,0.0000938,0.0033755,24
436,41,B,60,0.016049,0.0000068,0.000406,20
437,41,A,36,0.2063459,0.000087,0.0031319,20
438,42,A,36,1.2707926,0.0005358,0.0192882,20
439,42,A,36,0.2160305,0.0000911,0.0032789,20
440,22,C,79,0.0127064,0.0000054,0.0004232,21
441,22,C,79,0.1115409,0.000047,0.0037151,21
442,22,C,79,0.1108539,0.0000467,0.0036923,21
443,21,C,79,1.5368119,0.0006479,0.0511873,10
444,22,C,79,4.1815,0.001763,0.1392751,10
445,22,C,79,1.4966234,0.000631,0.0498487,10
446,22,D,84,1.0920858,0.0004604,0.0386768,10
